topic,stance,argument,argument_sentiment
subsidize poor communities,PRO,Safety nets protect households facing hard times from falling into deeper poverty and help them manage risk,1.0
governments should choose open source software,PRO,The autonomy properties of FOSS make it useful,1.0
Holocaust denial,PRO,Holocaust denial is generally viewed as antisemitic,-1.0
barrier methods of contraception,PRO,God created sexual intercourse to be both unitive and procreative,
all nations have a right to nuclear weapons,CON,"with nuclear weapons more widely available, deterrence is decreasingly effective and increasingly hazardous",-1.0
Israel's 2008-2009 military operations against Gaza,CON,The Israeli air strikes have demanded a disproportionate amount of civilian victims,-1.0
the use of affirmative action,CON,Merit should be a primary consideration during evaluation,1.0
have children,PRO,it has been claimed to be morally objectionable to bring a potential person into existence,-1.0
atheism,CON,"objective moral truths and the binding nature of obligations suggests a high power to enforce them, regarded as God",1.0
Israel's 2008-2009 military operations against Gaza,CON,"Israel’s military assault on Gaza was designed to ""humiliate and terrorize a civilian population",-1.0
the use of affirmative action,CON,Affirmative action is counter-productive,-1.0
the one-child policy of the republic of China,PRO,a decrease in the human population would prevent a significant amount of man-made human suffering,1.0
atheism,PRO,faith − belief that is not based on evidence − is one of the world's great evils,-1.0
the use of affirmative action,CON,qualifications should be the only determining factor,1.0
subsidize the growing of tobacco,PRO,artificially low prices resulting from subsidies create unhealthy incentives for consumers,-1.0
open primaries,PRO,If nonpartisan or independent voters are allowed to help select the nominees then they may be more likely to vote in the general election,1.0
the right to bear arms,CON,no rights should ever be allowed to be taken away by the government,
the use of affirmative action,CON,Discrimination is inherent in affirmative action programs,-1.0
build hydroelectric dams,PRO,"Large hydro dams can control floods, which would otherwise affect people living downstream of the project",1.0
partial birth abortions,CON,"while the state has an interest in protecting the fetus ""at some point"", this interest cannot override that of the pregnant woman",-1.0
atheism,CON,"something caused the Universe to exist, and this First Cause must be God",1.0
burning the stars and stripes,PRO,The States' have the authority to promulgate flag desecration laws under their general police power to safeguard public safety and welfare,1.0
Israel's 2008-2009 military operations against Gaza,PRO,The repeated firing of rockets by Hamas endangers the lives of both Israeli and Palestinian civilians,-1.0
atheism,CON,"The universe includes ideas not perceptible to mankind (or not always perceptible), and there must therefore exist an omniscient superobserver",1.0
the one-child policy of the republic of China,CON,China's family planning programs contribute to infanticide,-1.0
governments should choose open source software,PRO,The open source software allows anyone to make changes that will improve it,1.0
atheism,CON,"atheism was responsible for ""some 20th century atrocities",-1.0
build hydroelectric dams,PRO,renewable electricity technologies present policy makers with a superior alternative for minimising the risk of fuel interruptions and shortages,1.0
housewives should be paid for their work,PRO,unpaid domestic work is just as valuable as paid work,1.0
freedom of speech,PRO,some forms of expression can be legitimately prohibited by law because they are very offensive,-1.0
barrier methods of contraception,PRO,Contraception is always seriously evil,-1.0
barrier methods of contraception,PRO,"all licit sexual acts must be both unitive (express love), and procreative",
the blockade of Gaza,PRO,What is going on in Gaza is a humanitarian catastrophe,-1.0
Israel's 2008-2009 military operations against Gaza,CON,The disproportionate and excessive use of force displayed by the Israeli government has resulted in numerous casualties,-1.0
subsidize poor communities,CON,redistribution tends to benefit those with political clout to set spending priorities more than those in need,-1.0
the use of affirmative action,CON,Affirmative action undermines the achievements of minorities,-1.0
partial birth abortions,CON,"while the fetus is innocent and biologically human, it is not a person with a right to life",-1.0
atheism,CON,"theists are able to offer justification for morality, while atheists are not",1.0
austerity measures,PRO,"rather than 'punish' the banks and others truly responsible for the crisis, the government is instead 'punishing' regular people for the 'crimes' of others",-1.0
atheism,PRO,none of the arguments for God's existence are compelling,-1.0
subsidize the growing of tobacco,CON,commercial tobacco production is a vital part of the American and world economy,1.0
enforce term limits on the legislative branch of government,CON,Voters can already remove politicians through regular elections or by recall,
build high rises for housing,PRO,"urban intensification which increases population density will reduce per capita car use, with benefits to the global environment",1.0
congressional earmarks,CON,directing money to particular purposes is a core constitutional function of Congress,1.0
unleash the free market,CON,"grave imbalances are produced when economic action, conceived merely as an engine for wealth creation, is detached from political action",-1.0
national service,CON,Professionally-skilled conscripts are difficult to replace in the civilian workforce,-1.0
the sale of violent video games to minors,PRO,Exposure to violent video games causes at least a temporary increase in aggression and this exposure correlates with aggression in the real world,-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel violated the Fourth Geneva Convention by targeting civilians,-1.0
unleash the free market,CON,free trade hurts developed nations,-1.0
unleash the free market,CON,"free markets, by themselves, often do not lead to what is best",-1.0
governments should choose open source software,PRO,Open source provides a flexibility not available in closed products,1.0
gambling,PRO,the high-speed instant gratification of Internet games and the high level of privacy they offer may exacerbate problem and pathological gambling,-1.0
advertising,PRO,advertising focuses on looking toward external rewards for a sense of self,-1.0
the use of performance enhancing drugs in professional sports,PRO,"There is little danger from anabolica, when the athletes are kept on strictly monitored programmes",1.0
endangered species,PRO,nature does not exist simply to be used or consumed by humans,
the creation of private universities in the UK,PRO,higher education has been a closed shop in the UK for too long,
the one-child policy of the republic of China,CON,A larger population means more production,1.0
unleash the free market,PRO,Financial liberalization and privatization coincide with democratization,1.0
the blockade of Gaza,CON,"The naval blockade was imposed on the Gaza Strip lawfully, with Israel complying with the conditions for imposing it",1.0
atheism,CON,"ethics, and other serious matters do not make sense in the absence of God",-1.0
endangered species,PRO,there is a threat of significant reduction or loss of biological diversity,-1.0
barrier methods of contraception,CON,"the Church's ban on condoms has ""caused the death of millions",-1.0
blasphemy,PRO,the freedom of expression does not justify in any way whatsoever the defamation of religions,-1.0
intellectual property rights,CON,granting developers temporary monopolies over their works encourages further development and creativity,1.0
governments should choose open source software,PRO,"wide availability results in increased scrutiny of the source code, making open source software more secure",1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel targeted Palestinian civilians as a matter of policy,-1.0
atheism,PRO,the human race no longer needs religion,-1.0
unleash the free market,CON,the free market can damage national traditions,-1.0
unleash the free market,PRO,Central economic planning leads towards totalitarianism,-1.0
institute a mandatory retirement age,CON,it is unlawful to discriminate against a person because of his/her age,-1.0
democratization,PRO,the best strategy to ensure our security and to build a durable peace is to support the advance of democracy elsewhere,1.0
atheism,PRO,"a benevolent deity ought to create only happy creatures, not an imperfect world like the real world",-1.0
the monarchy,CON,The monarchy works well,1.0
unleash the free market,PRO,"The freer the market, the more prices will reflect consumer habits and demands",1.0
the creation of private universities in the UK,PRO,privatization consistently improves efficiency,1.0
partial birth abortions,PRO,abortion is wrong because it deprives the embryo of a valuable future,-1.0
unleash the free market,PRO,"economic freedom, while itself an extremely important component of total freedom, is also a necessary condition for political freedom",1.0
atheism,CON,certain features of the universe and of living things are the product of an intelligent cause,1.0
year round schooling,PRO,Multitrack schedules reportedly bring many benefits to schools that use them,1.0
intellectual property rights,PRO,Copyright can be used to stifle political criticism,-1.0
democratization,PRO,Democracy is viewed as a means of promoting moderation and stability and preventing terrorism,1.0
the use of truth and reconciliation commissions,PRO,Truth-seeking processes aim to enable societies to examine and come to terms with past crimes and human rights violations in order to prevent their recurrence,1.0
the right to asylum,PRO,Immigrants are contributing to the congestion in the cities and to the rise in crime,-1.0
burning the stars and stripes,PRO,Desecration of the flag impugns its value as such a unique national symbol,-1.0
wind power,PRO,any effects on the environment from wind power are generally much less problematic than those of any other power source,1.0
the use of truth and reconciliation commissions,PRO,Restorative justice that fosters dialogue between victim and offender shows the highest rates of victim satisfaction,1.0
intellectual property rights,CON,content creators would not have incentive to produce their products if they cannot be guaranteed payment,1.0
build hydroelectric dams,PRO,The cost of hydroelectricity is relatively low,1.0
the use of affirmative action,CON,it is impossible to favor somebody without discriminating against others,-1.0
freedom of speech,PRO,Freedom of speech and expression can not be an excuse for distribution of indecent and immoral content,-1.0
the use of performance enhancing drugs in professional sports,CON,The use of anabolic steroids is now banned by all major sporting bodies,-1.0
multiculturalism,CON,Multiculturalism hinders equity and equality in society,-1.0
the monarchy,PRO,Hereditary succession is outdated,-1.0
the use of affirmative action,CON,Affirmative action discriminates against members of a dominant or majority group,-1.0
collective bargaining rights claimed by trades unions,PRO,unions never raise productivity to compensate for higher wages,-1.0
unleash the free market,PRO,market economies are inherently stable if left to themselves,1.0
only teach abstinence for sex education in schools,PRO,"a morality based on sex only within the bounds of marriage is ""healthy and constructive",1.0
gambling,PRO,pathological gambling is an addiction similar to chemical addiction,-1.0
subsidize the growing of tobacco,PRO,tobacco causes cancer,-1.0
build hydroelectric dams,CON,Hydroelectric projects can be disruptive to surrounding aquatic ecosystems,-1.0
unleash the free market,CON,some regulation is required to make markets work,1.0
build high rises for housing,PRO,"Living in larger, more spread out spaces generally makes public services more expensive",-1.0
burning the stars and stripes,CON,freedom of expression by non-speech means is commonly thought to be protected under the First Amendment,1.0
multiculturalism,CON,"A community of separate cultures fosters a rights mentality, rather than a responsibilities mentality",-1.0
barrier methods of contraception,CON,Condoms can save life,1.0
unleash the free market,PRO,That government is best which governs least,
national service,CON,The military draft is an abrogation of rights,-1.0
the right to bear arms,CON,Gun ownership is seen as a civil right,1.0
build hydroelectric dams,CON,Another disadvantage of hydroelectric dams is the need to relocate the people living where the reservoirs are planned,-1.0
subsidize poor communities,CON,foreign aid is seen to be serving the interests of the donor more than the recipient,-1.0
governments should choose open source software,PRO,Open source software is said to be more reliable,1.0
the sale of violent video games to minors,PRO,computer games cause violence,-1.0
subsidize poor communities,CON,subsidies may distort the market,-1.0
national service,CON,The work effort of the conscripts is effectively wasted,-1.0
build high rises for housing,CON,many tower blocks saw rising crime levels,-1.0
the use of affirmative action,CON,recognition and rights accorded to specific groups may interfere with the state's need to establish a cohesive identity,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,the IDF was forced to deal with the lowest form of terrorists,1.0
the use of affirmative action,CON,using quotas displaces individuals that would normally be favored based on their individual achievements,-1.0
leaking of military documents,PRO,"national security"" may simply serve as a pretext for suppressing unfavorable political and social views",
fund education using a voucher scheme,PRO,access to resources play a hugely important role in educational inequality,
blasphemy,CON,there is no place for the offence of blasphemous libel in a society which respects freedom of speech,-1.0
the one-child policy of the republic of China,CON,a single child would be left with having to provide support for his or her two parents and four grandparents,-1.0
multiculturalism,PRO,Unity without diversity results in cultural repression,-1.0
multiculturalism,CON,Unity is seen as an essential feature of the nation and the nation-state,1.0
the right to asylum,PRO,Asylum seekers are motivated by the availability of benefits,-1.0
wind power,CON,Wind turbines may cause physiological problems,-1.0
democratization,CON,voters may not be educated enough to exercise their democratic right,-1.0
blasphemy,PRO,In all societies there is a need to show sensitivity and responsibility in treating issues of special significance for the adherents of any particular faith,1.0
the use of affirmative action,CON,"affirmative action devalues the accomplishments of all those who belong to groups it is intended to help, therefore making affirmative action counterproductive",-1.0
build hydroelectric dams,CON,adverse environmental and sociological impacts have been identified during and after many reservoir constructions,-1.0
unleash the free market,CON,Free market can be inefficient,-1.0
national service,PRO,in the case of a mandatory draft members of the U.S. Congress would be much less likely to authorize an unnecessary war,1.0
the sale of violent video games to minors,PRO,A correlation between violent content conveyed through media (including videogames) and violent or aggressive behavior has been shown,-1.0
all nations have a right to nuclear weapons,CON,"The world is now in a new and dangerous nuclear era, and the likelihood that non-state terrorists will get their hands on nuclear weaponry is increasing",
gambling,PRO,Most games played in the casino have mathematically-determined odds that ensure the house has at all times an advantage over the players,-1.0
burning the stars and stripes,PRO,burning the flag is a very offensive gesture that deserves to be formally outlawed,-1.0
blasphemy,CON,"Freedom of expression should permit people to express whatever opinions they have, even if they are offensive",
multiculturalism,PRO,multiculturalism tries to restore a sense of wholeness in a postmodern era that fragments human life and thought,1.0
the blockade of Gaza,PRO,"Gaza Strip is ""an immense concentration camp",-1.0
the blockade of Gaza,PRO,Humanity cannot continue allowing a city to be slowly strangled,-1.0
congressional earmarks,PRO,Politicians are often accused of misusing their allocations for selfish purposes,
wind power,CON,Electricity generated from wind power can be highly variable,-1.0
build hydroelectric dams,PRO,Hydroelectric plants have high availability factors,1.0
the blockade of Gaza,PRO,Gaza cannot and must not be allowed to remain a prison camp,-1.0
open primaries,CON,A single election in which the party nominee is selected by nonparty members could be enough to destroy the party,-1.0
endangered species,PRO,diverse ecosystems actually resist invasion and disease better than their less diverse equivalents,1.0
the one-child policy of the republic of China,PRO,Population control involve measures that improve people's lives,1.0
endangered species,PRO,"Other life-forms warrant our respect, whether or not they are of immediate benefit to us",1.0
the blockade of Gaza,CON,The naval blockade was imposed as a legitimate security measure in order to prevent weapons from entering Gaza,1.0
atheism,PRO,nature is all there is,1.0
freedom of speech,CON,No human right is more basic than freedom of expression,1.0
the one-child policy of the republic of China,PRO,The policy had proved remarkably effective,1.0
endangered species,PRO,Biodiversity provides critical support for drug discovery and the availability of medicinal resources,1.0
the creation of private universities in the UK,PRO,"if universities are ""to nurture genuinely free and creative academic research"" and ""be the guardians of liberty which a free society needs"" they must be independent of government funding",1.0
the blockade of Gaza,PRO,The Gaza blockade inflicted excessive damage to the civilian population in relation to the concrete military advantage expected,-1.0
unleash the free market,PRO,Freer markets result in freer people,1.0
wind power,CON,the unpredictable intervals of near-zero output render windpower unsuitable as a base generating capacity,-1.0
multiculturalism,CON,Multiculturalism creates friction within society,-1.0
unleash the free market,CON,Market failures are viewed as a very common problem of any unregulated market system,-1.0
atheism,CON,life and the universe were created by a deity,1.0
multiculturalism,PRO,cultural diversity is as necessary for humankind as biodiversity is for the nature,1.0
governments should choose open source software,PRO,adoption of open-source software models has resulted in savings,1.0
freedom of speech,PRO,the government may censor speech when the speech is its own,
make physical education compulsory,PRO,P.E. actually increases test scores,1.0
the blockade of Gaza,PRO,Even if the blockade is eased it remains illegal under international law,-1.0
the creation of private universities in the UK,CON,It is dangerous to have a university funded by private equity,-1.0
atheism,PRO,belief in a higher being is the product of fear,-1.0
the right to bear arms,CON,gun possession is a civil right,1.0
only teach abstinence for sex education in schools,PRO,Sexual abstinence diminishes the risk of contracting sexually transmitted diseases,1.0
collective bargaining rights claimed by trades unions,CON,The right to bargain collectively with an employer enhances the human dignity,1.0
re-engage with Myanmar,PRO,the American-led sanctions have had adverse effects on the civilian population,-1.0
the sale of violent video games to minors,PRO,video game violence leads to youth violence,-1.0
endangered species,PRO,Diverse ecosystems are typically more productive than non-diverse ones,1.0
governments should choose open source software,CON,Free software often has no warranty,-1.0
the monarchy,CON,Monarchy safeguards the constitutional rights of the individual,1.0
governments should choose open source software,PRO,FOSS provides high code visibility and the ability to fix security flaws quickly and quietly,1.0
housewives should be paid for their work,PRO,Care work is essential to human well-being,1.0
the monarchy,PRO,Monarchy encourages attitudes which are more suited to a bygone age of imperialism,-1.0
endangered species,PRO,Loss of biodiversity results in the loss of natural capital that supplies ecosystem goods and services,-1.0
have children,CON,Choosing to be childfree is both difficult and undesirable,-1.0
the blockade of Gaza,PRO,The Gaza blockade was called collective punishment in contravention of international humanitarian law,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,No country can just passively accept being fired on,-1.0
gambling,CON,Gambling provides jobs,1.0
endangered species,CON,"since species become extinct ""all the time"" the disappearance of a few more will not destroy the ecosystem",1.0
make physical education compulsory,CON,"school should be made to fit the child, rather than the other way around",
unleash the free market,PRO,"massive waves of unemployment, as in economic recessions and depressions, can be traced back to state intervention in the market",-1.0
the one-child policy of the republic of China,CON,The one child policy creates social problems and personality disorders in young people,-1.0
multiculturalism,CON,A community of separate cultures works against quick and effective integration,-1.0
advertising,PRO,"advertising can ""impose a sense of inadequacy on young women's self-concepts",-1.0
collective bargaining rights claimed by trades unions,CON,Collective bargaining facilitates and encourages the amicable settlements of disputes between employees and their employers,1.0
blasphemy,CON,It is not the business of government in our nation to suppress real or imagined attacks upon a particular religious doctrine,-1.0
wind power,CON,Wind-generated power is a variable resource,-1.0
fund education using a voucher scheme,CON,with federal school vouchers inevitably come further central government regulation and loss of local control over education,-1.0
freedom of speech,PRO,one can not tolerate free speech concerning drugs,-1.0
boxing,PRO,Medical Associations have called for bans on boxing,-1.0
subsidize poor communities,PRO,poverty decreases after countries adapt welfare programs,1.0
build hydroelectric dams,CON,Resettlement adds to the social costs of the dams,-1.0
all nations have a right to nuclear weapons,CON,more countries with nuclear weapons may increase the possibility of nuclear warfare,-1.0
subsidize poor communities,PRO,economic inequality reduces social cohesion and increases social unrest,-1.0
only teach abstinence for sex education in schools,CON,Abstinence only sex education does not decrease rates of unplanned pregnancy,-1.0
intellectual property rights,PRO,IP can be a disincentive to innovation,-1.0
freedom of speech,PRO,"freedom can be restricted for reasons of ""sovereignty and integrity",-1.0
Israel's 2008-2009 military operations against Gaza,CON,"the reaction of the armed forces of Israel was condemned as ""disproportional",-1.0
build hydroelectric dams,PRO,Hydropower is an extremely flexible technology from the perspective of power grid operation,1.0
atheism,CON,God must exist to give force to moral obligations,1.0
atheism,PRO,Religions have promoted facts and histories that are contradicted by science,-1.0
implement playoffs in collegiate level American football,PRO,"due to the unique and often esoteric nature of the BCS format, there has been controversy as to which two teams should play for the national championship",-1.0
the monarchy,PRO,Monarchy is viewed as outdated and irrelevant,-1.0
freedom of speech,CON,the expression of dissent or subversive views should be tolerated,1.0
intellectual property rights,PRO,Copyright serves to enrich a few at the expense of creativity,-1.0
the right to bear arms,CON,Regions where gun ownership is widespread are the ones with the smallest number of gun-related deaths,1.0
democratic governments should require voters to present photo identification at the polling station,PRO,Photo identification is necessary to prevent widespread voter fraud,1.0
atheism,PRO,reliance on divine authority lends itself to authoritarianism and dogmatism,-1.0
endangered species,PRO,"When biodiversity is lost, the environment loses many species that provide valuable and unique roles to the ecosystem",-1.0
unleash the free market,PRO,imperfect markets are often better than imperfect governmental alternatives,1.0
Israel's 2008-2009 military operations against Gaza,CON,the Israeli military operation was directed at the people of Gaza as a whole,-1.0
freedom of speech,CON,censorship violates multiple Basic Human Rights,-1.0
barrier methods of contraception,CON,condoms should be used to prevent the spread of HIV,1.0
atheism,PRO,there is insufficient reason to believe that any gods exist,-1.0
subsidize poor communities,PRO,a certain amount of redistribution would be justified,1.0
intellectual property rights,CON,Intellectual property laws give statutory expression to the moral and economic rights of creators in their creations,1.0
the creation of private universities in the UK,PRO,Academics are demoralized by government interference with admissions procedures,-1.0
build hydroelectric dams,CON,"Hydro-energy and large dams may not be considered ""clean"" nor ""renewable"" sources of electricity",-1.0
the one-child policy of the republic of China,CON,The one-child policy is challenged in principle and in practice for violating a human right to determine the size of one's own family,-1.0
build hydroelectric dams,CON,"Dams can severely reduce the amount of water reaching countries downstream of them, causing water stress between the countries",-1.0
fund education using a voucher scheme,PRO,vouchers and other forms of publicly funded private school choice are necessary to give families an opportunity to enroll their children in more effective private schools,1.0
barrier methods of contraception,PRO,using condoms during sex is morally contraceptive and thus a sin,-1.0
only teach abstinence for sex education in schools,CON,such programs fail to provide adequate information to protect the health of adolescents,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Israeli military attacks were launched in response to militants firing missiles,1.0
Holocaust denial,CON,"denial legislation imposes ""historical truth as legal truth",-1.0
democratization,PRO,"democracy has repeatedly proven to be a fundamentally better system (ethically, politically, economically) than any of the alternatives",1.0
subsidize the growing of tobacco,PRO,Tobacco is being considered a usurper of good farm land,-1.0
freedom of speech,PRO,Freedom of speech may be restricted by law to protect rights and respectability of others,-1.0
unleash the free market,PRO,Less corruption and less political violence have been found to be correlated with free markets,1.0
atheism,PRO,natural (non-supernatural) theories adequately explain the development of religion and belief in gods,1.0
the use of performance enhancing drugs in professional sports,CON,There is a wide range of health concerns for users of anabolic steroids,-1.0
build hydroelectric dams,CON,potential hydroelectric sites are becoming scarce,-1.0
multiculturalism,CON,Multiculturalism is a perilous concept on which to found policy,-1.0
the use of performance enhancing drugs in professional sports,CON,"around 10,000 former athletes bear the physical and mental scars of years of drug abuse",-1.0
partial birth abortions,PRO,abortion is morally wrong,-1.0
build high rises for housing,PRO,Tower blocks can hold thousands of families in a single building,1.0
national service,CON,"in a cost-to-benefit ratio, conscription during peace time is not worthwhile",-1.0
the use of affirmative action,PRO,"Affirmative action helps to compensate for past discrimination, persecution or exploitation by the ruling class of a culture",1.0
multiculturalism,PRO,promotion and maintenance of cultural diversity are an essential requirement for sustainable development,1.0
intellectual property rights,CON,Intellectual property rights promote public welfare,1.0
intellectual property rights,CON,Copyright law is fair and just,1.0
Israel's 2008-2009 military operations against Gaza,CON,War has never brought any solution to problems,-1.0
democratization,CON,democracy will result in the people's distrust and disrespect of governments,-1.0
advertising,PRO,Advertising is increasingly invading public spaces,-1.0
Holocaust denial,CON,the laws will make martyrs out of those imprisoned for their violation,-1.0
democratization,CON,democratic institutions would do no more than shift the exercise of power from oppression to manipulation,-1.0
institute a mandatory retirement age,PRO,Older workers lack up-to-date skills,-1.0
the right to bear arms,PRO,criminal use of guns is far more common than self-defense use of guns,-1.0
the use of affirmative action,PRO,Affirmative action policies for specific racial groups guarantee the full and equal enjoyment of human rights and fundamental freedoms,1.0
the use of affirmative action,CON,The identification of oppressed classes is difficult to carry out,-1.0
the blockade of Gaza,PRO,The limited trickle of items into Gaza force the counter-productive reliance on tunnels for daily essentials,-1.0
the monarchy,CON,The sovereign knows the interests of his subjects better than they themselves,1.0
partial birth abortions,PRO,"as a standard embryo does have a highly valuable future, killing it is seriously wrong",
austerity measures,CON,Short-term sacrifices are necessary for long-term success,1.0
bribery,CON,Availability of bribes can induce officials to contrive new rules and delays,-1.0
subsidize the growing of tobacco,PRO,smoking-related health problems contribute to rising health care costs,-1.0
barrier methods of contraception,CON,Condoms (male or female) are used to protect against STIs,1.0
the use of affirmative action,CON,jobs should go to those “most qualified,1.0
atheism,PRO,religious beliefs and traditions lack scientific or rational foundations,-1.0
unleash the free market,PRO,political and civil liberties have simultaneously expanded with market-based economies,1.0
Israel's 2008-2009 military operations against Gaza,PRO,The escalation of tensions in the Gaza Strip […] has been triggered by rocket attacks launched by Hamas against innocent Israeli civilians,-1.0
governments should choose open source software,PRO,Open-source-appropriate technology built in continuous peer-review can result in better quality,1.0
democratization,CON,Attempts to create democracies by using external force often fail,-1.0
make physical education compulsory,CON,the model of ideal education is that which occurs when people go on their own initiative to discover things,
the use of affirmative action,PRO,Affirmative action aims to correct the effects of past and present discrimination,1.0
democratization,PRO,majority rule is preferable to other systems,1.0
blasphemy,CON,Freedom of expression is at the core of democracy,1.0
endangered species,PRO,we have a responsibility to act as custodians for nature,1.0
only teach abstinence for sex education in schools,CON,sex education is necessary to prepare the young for the task ahead,1.0
the right to bear arms,PRO,easier access to guns lead to more violence,-1.0
gambling,PRO,The social costs of gambling to society are varied,-1.0
gambling,CON,gambling increases aggregate demand for goods and services in the economy,1.0
multiculturalism,PRO,people have the right to maintain an affiliation with one's ethnic group,1.0
build hydroelectric dams,CON,Reservoirs may contribute to changes in the Earth's climate,-1.0
democratization,PRO,democracy aims at reducing political uncertainty and instability,1.0
the one-child policy of the republic of China,CON,"poverty and famine are caused by bad government and bad economic policies, not by overpopulation",1.0
unleash the free market,CON,customers desire protection from market power when competition is non-existent or ineffective,1.0
the monarchy,CON,The monarch serves as a ceremonial figurehead symbol of national unity and state continuity,1.0
advertising,PRO,The steady normalization of invasive advertising dulls the public’s perception of their surroundings,-1.0
the use of affirmative action,PRO,Differential treatment of racial groups is intended to ameliorate past discrimination,1.0
only teach abstinence for sex education in schools,PRO,sexual abstinence in teenagers decreases the risk of contracting STDs and having children outside marriage,1.0
the blockade of Gaza,CON,Israel is not legally responsible for Gaza and not obliged to help a hostile territory beyond whatever is necessary to avoid a humanitarian crisis,1.0
advertising,PRO,advertising has the potential to persuade people into commercial transactions that they might otherwise avoid,-1.0
the use of affirmative action,CON,affirmative action lowers the bar,-1.0
subsidize poor communities,PRO,Safety nets can provide households with a cushion to invest resources more efficiently,1.0
the sale of violent video games to minors,CON,Not all depictions of violence are bad to witness,1.0
endangered species,PRO,Biodiversity is important to the security of resources,1.0
Israel's 2008-2009 military operations against Gaza,PRO,The Hamas terror organization is the one who started the war,-1.0
gambling,CON,Internet gambling is a legitimate activity that citizens have the right to engage in,1.0
partial birth abortions,CON,The government should not interfere with a woman’s ability to have an abortion,1.0
the blockade of Gaza,PRO,Israel restricts the ability for the Palestinian authority to exercise control,-1.0
burning the stars and stripes,CON,Symbolic speech is recognized as being protected under the First Amendment as a form of speech,1.0
austerity measures,PRO,austerity measures tend to be counterproductive,-1.0
partial birth abortions,CON,A state law banning certain forms of abortion is unconstitutional,-1.0
have children,CON,The effects of a declining population can be adverse for an economy,-1.0
the use of affirmative action,PRO,Affirmative action policies may be considered necessary because the minority group in question is socially disadvantaged,1.0
make physical education compulsory,PRO,Physical exercise helps prevent the diseases of affluence,1.0
unleash the free market,PRO,central planners would not know how to allocate the available resources efficiently,-1.0
atheism,PRO,The existences of a god and of evil are logically incompatible,-1.0
barrier methods of contraception,PRO,all licit sexual acts must be open to procreation,
freedom of speech,CON,there must be no constraints on the free flow of information and ideas,1.0
build hydroelectric dams,PRO,A hydroelectric power source has no fuel and low escape risk,1.0
only teach abstinence for sex education in schools,CON,Denying teens factual information leads to unwanted pregnancies and STIs,-1.0
gambling,PRO,Addicted gamblers cost companies loss of productivity and profit,-1.0
democratization,CON,The official goal of democracy of eliminating elite rule is impossible,-1.0
the one-child policy of the republic of China,PRO,children with many siblings receive fewer resources,-1.0
national service,PRO,bringing back the draft would remedy the social disparity,1.0
multiculturalism,PRO,Multicultural education in public schools would promote acceptance of diversity,1.0
unleash the free market,PRO,private market factors can more efficiently deliver many goods or service than governments due to free market competition,1.0
advertising,PRO,Advertising occupies public space and more and more invades the private sphere of people,-1.0
leaking of military documents,PRO,Information should be free,1.0
wind power,CON,people living near wind power facilities are increasingly complaining of health problems,-1.0
multiculturalism,CON,Multiculturalism is considered to be dangerous to the West,-1.0
atheism,CON,God exists and this can be proven,1.0
democratization,CON,no system of government can or should be imposed upon one nation by any other,
leaking of military documents,CON,Authority to exercise censorship over the press .. is absolutely necessary to the public safety,1.0
subsidize poor communities,CON,an increased gap between rich and poor increases the incentives for competition and innovation within an economy,1.0
atheism,CON,"A natural moral order requires the existence of God as orthodoxly conceived, so god must exist",1.0
unleash the free market,PRO,free markets work best,1.0
have children,PRO,non-reproduction would eventually allow humans to lead idyllic lifestyles,1.0
leaking of military documents,PRO,"Precisely because the repercussions that decisions of a security nature have on the life of nation, it is suitable to open the door to openly exchanging of views on security issues",1.0
build the Keystone XL pipeline,CON,oil sands industry has been identified as the largest contributor to greenhouse gas emissions growth in Canada,-1.0
blasphemy,PRO,freedom of speech and disseminating ideas do not amount to the right to insult,-1.0
subsidize the growing of tobacco,PRO,Tobacco is the single greatest cause of preventable death globally,-1.0
the monarchy,PRO,Monarchy is the enemy of merit and aspiration,-1.0
the sale of violent video games to minors,PRO,Some serious psychological problems have been attributed to desensitization to violence in video games,-1.0
multiculturalism,CON,Multiculturalism results in political corruption,-1.0
have children,PRO,there is a moral imperative not to procreate,1.0
the blockade of Gaza,PRO,The blockade amounts to a flagrant contravention of international human rights and humanitarian law,-1.0
make physical education compulsory,CON,Not everyone benefits equally from exercise,
only teach abstinence for sex education in schools,CON,"Sex-abstinence programs do not stop risky sexual behavior, or help in the prevention of unwanted pregnancy",-1.0
Israel's 2008-2009 military operations against Gaza,CON,Israel's actions were causing unjustifiable deaths among the civilians,-1.0
subsidize poor communities,CON,redistribution of legitimately obtained property cannot ever be just,-1.0
burning the stars and stripes,PRO,"flag burning is ""no essential part of any exposition of ideas",-1.0
collective bargaining rights claimed by trades unions,CON,Collective bargaining permits workers to achieve a form of workplace democracy,1.0
atheism,CON,religions provide a net benefit to individuals and society,1.0
unleash the free market,PRO,any interference with the market process decreases social well being,-1.0
wind power,CON,every wind turbine must be backed up by reliable power,-1.0
democratization,CON,it is very difficult (or even impossible) for democracy to be implemented immediately in a country that has no prior experience with it,-1.0
re-engage with Myanmar,CON,constructive engagement with the Burmese junta has failed,-1.0
intellectual property rights,PRO,"knowledge should be ""shared in solidarity",
fund education using a voucher scheme,PRO,the competition spurred by vouchers and education tax credits increases the quality of both eligible private schools and local public schools,1.0
